Helység megnevezése;Megye megnevezés
Drávaiványi;Baranya
Drávakeresztúr;Baranya
Drávapalkonya;Baranya
Drávapiski;Baranya
Drávaszabolcs;Baranya
Drávaszerdahely;Baranya
Drávasztára;Baranya
Drávatamási;Somogy
Drégelypalánk;Nógrád
Dubicsány;Borsod-Abaúj-Zemplén
Dudar;Veszprém
Duka;Vas
Dunaalmás;Komárom-Esztergom
Dunabogdány;Pest
Dunaegyháza;Bács-Kiskun
Dunafalva;Bács-Kiskun
Dunaföldvár;Tolna
Dunaharaszti;Pest
Dunakeszi;Pest
Dunakiliti;Gyõr-Moson-Sopron
Dunapataj;Bács-Kiskun
Dunaremete;Gyõr-Moson-Sopron
Dunaszeg;Gyõr-Moson-Sopron
Dunaszekcsõ;Baranya
Dunaszentbenedek;Bács-Kiskun
Dunaszentgyörgy;Tolna
Dunaszentmiklós;Komárom-Esztergom
Dunaszentpál;Gyõr-Moson-Sopron
Dunasziget;Gyõr-Moson-Sopron
Dunatetétlen;Bács-Kiskun
Dunaújváros;Fejér
Dunavarsány;Pest
Dunavecse;Bács-Kiskun
Dusnok;Bács-Kiskun
Dúzs;Tolna
Ebergõc;Gyõr-Moson-Sopron
Ebes;Hajdú-Bihar
Écs;Gyõr-Moson-Sopron
Ecséd;Heves
Ecseg;Nógrád
Ecsegfalva;Békés
Ecseny;Somogy
Ecser;Pest
Edde;Somogy
Edelény;Borsod-Abaúj-Zemplén
Edve;Gyõr-Moson-Sopron
Eger;Heves
Egerág;Baranya
Egeralja;Veszprém
Egeraracsa;Zala
Egerbakta;Heves
Egerbocs;Heves
Egercsehi;Heves
Egerfarmos;Heves
Egerlövõ;Borsod-Abaúj-Zemplén
Egerszalók;Heves
Egerszólát;Heves
Égerszög;Borsod-Abaúj-Zemplén
Egervár;Zala
Egervölgy;Vas
Egyed;Gyõr-Moson-Sopron
Egyek;Hajdú-Bihar
Egyházasdengeleg;Nógrád
Egyházasfalu;Gyõr-Moson-Sopron
Egyházasgerge;Nógrád
Egyházasharaszti;Baranya
Egyházashetye;Vas
Egyházashollós;Vas
Egyházaskeszõ;Veszprém
Egyházaskozár;Baranya
Egyházasrádóc;Vas
Elek;Békés
Ellend;Baranya
Elõszállás;Fejér
Emõd;Borsod-Abaúj-Zemplén
Encs;Borsod-Abaúj-Zemplén
Encsencs;Szabolcs-Szatmár-Bereg
Endrefalva;Nógrád
Endrõc;Baranya
Enese;Gyõr-Moson-Sopron
Enying;Fejér
Eperjes;Csongrád-Csanád
Eperjeske;Szabolcs-Szatmár-Bereg
Eplény;Veszprém
Epöl;Komárom-Esztergom
Ercsi;Fejér
Érd;Pest
Erdõbénye;Borsod-Abaúj-Zemplén
Erdõhorváti;Borsod-Abaúj-Zemplén
Erdõkertes;Pest
Erdõkövesd;Heves
Erdõkürt;Nógrád
Erdõsmárok;Baranya
Erdõsmecske;Baranya
Erdõtarcsa;Nógrád
Erdõtelek;Heves
Erk;Heves
Érpatak;Szabolcs-Szatmár-Bereg
Érsekcsanád;Bács-Kiskun
Érsekhalma;Bács-Kiskun
Érsekvadkert;Nógrád
Értény;Tolna
Erzsébet;Baranya
Esztár;Hajdú-Bihar
